id,google_id,titulo,descripcion,texto
43,CWy4EAAAQBAJ,Biografía del general Joaquín Acosta,"Crónica de vida y obra del prócer de Guaduas, Cundinamarca.","Biografía del general Joaquín Acosta: prócer de la independencia, historiador y geógrafo de Guaduas."
44,wPtrAAAAMAAJ,Crónicas municipales,"Relatos humorísticos y sociales sobre municipios de Cundinamarca por Alberto Hincapié Espinosa.","Crónicas municipales: historia en broma por Alberto Hincapié Espinosa, ambientadas en municipios de Cundinamarca."
45,uqNJAQAAIAAJ,La villa de Guaduas,"Historia de Guaduas, su fundación y cultura por Alberto Hincapié Espinosa.","La villa de Guaduas: historia local y costumbres de Guaduas, Cundinamarca."
46,3Fe9DwAAQBAJ,Biografía del general Joaquín Acosta (Samper),"Relato biográfico publicado por Soledad Acosta de Samper sobre Joaquín Acosta.","Biografía del general Joaquín Acosta: historia, ciencia y política en Cundinamarca."
47,29Q0AAAAIAAJ,Los trabajadores de tierra caliente,"Estudio sociológico sobre campesinos de tierras bajas en Cundinamarca por Medardo Rivas.","Los trabajadores de tierra caliente: análisis sobre campesinos del piedemonte cundinamarqués por Medardo Rivas."
48,3Fe9DwAAQBAJ,Historia de la educación en Cundinamarca,"Análisis de la evolución educativa en el departamento por María del Pilar Gómez.","Historia de la educación en Cundinamarca: evolución educativa desde la colonia hasta hoy por María del Pilar Gómez."
49,7MGJEAAAQBAJ,911 V.I.P.,"personajes del espectáculo y la vida pública e innumerables detalles inéditos de sus dolorosos fallecimientos –detalles que en la mayoría de los casos, se creía, habían sido enterrados con sus protagonistas– le dan forma al más exclusivo dossier de defunción de las estrellas. ","Personajes del espectáculo y la vida pública de Cundinamarca: dossier de defunciones de las estrellas."
50,vyUhEQAAQBAJ,Salitre,"Salitre nos adentra en la biografía de Álvaro Elías Beltrán Celedón, concretamente en los primeros años de su infancia en Colombia, su país natal. Nacido en el seno de una familia numerosa de orígenes humildes, Álvaro crece en un entorno tóxico, marcado por la violencia, la pobreza y la falta de educación que caracterizaban estos agitados años de la segunda mitad del siglo XX colombiano.","Salitre: biografía de Álvaro Elías Beltrán Celedón, infancia en Colombia y entorno social de Cundinamarca."
51,3yE1ngMoUT8C,147 maestros,"exposición conmemorativa : 120 años Escuela de Artes Plásticas","147 maestros: exposición conmemorativa de 120 años de la Escuela de Artes Plásticas de Cundinamarca."
52,JFYkEAAAQBAJ,Entre bestias y bellezas,"A lo largo de la historia, la belleza ha sido muy valorada, pues ha sido de suma importancia en los ámbitos sociales, económicos, culturales y políticos en distintas sociedades. En Colombia, la belleza de sus mujeres, conocida mundialmente, se ha convertido en una fachada para problemas profundamente arraigados en su realidad nacional.","Entre bestias y bellezas: análisis de la belleza femenina en Colombia y su impacto social y cultural en Cundinamarca."
53,fInvDwAAQBAJ,Confesiones de sofonías,"Ahora en pleno siglo XX, el Sofonías de nuestra historia jamás le huyó a la verdad amenazante del destino. Aferrado misérrimo enfatigoso abrazo con su fortuna. Una que estrangula su tenue y tímido espíritu y le sonríe de lejos con muecas fantasmales, grotescas y ridículas. Los agravios envenenaron su alma y lo sumieron en torrentes de venganza, odio y desesperación.","Confesiones de sofonías: relato sobre la lucha interna y el destino de un personaje en Cundinamarca."
54,UEFnEQAAQBAJ,Cambio social revolucionario en Colombia,"El cambio social revolucionario en Colombia es un proceso que ha estado presente a lo largo de la historia del país, desde la época precolombina hasta la actualidad. Este proceso ha sido impulsado por diversos factores, como la lucha por la independencia, la búsqueda de justicia social y la defensa de los derechos humanos.","Cambio social revolucionario en Colombia: análisis del proceso histórico y sus implicaciones en Cundinamarca."
55,pLxTEQAAQBAJ,Letras unidas inspiradas sobre amor,"El libro Letras unidas inspiradas sobre amor es una colección de poemas, cartas y canciones que exploran el tema del amor en todas sus facetas. El autor, Oscar Martínez Montes, se inspira en su propia mundología y en la naturaleza que lo rodea para crear una obra que es a la vez personal y universal. El amor, en todas sus formas, es el tema principal de la obra. Martínez Montes explora el amor presente, ausente, vivido, soñado y sufrido. ","Letras unidas inspiradas sobre amor: colección de poemas y reflexiones sobre el amor por Oscar Martínez Montes."
56,c4jQEAAAQBAJ,la tranquila expresión de una fe revolucionaria,"José Domingo Rodríguez hace parte de la prolífica generación de artistas formados en la Escuela de Bellas Artes durante los inicios del siglo XX. Aun cuando parte de su obra escultórica se encuentra en el espacio público de nuestra ciudad, y otra más es constitutiva de la colección del Museo Nacional, su nombre no ocupa precisamente un lugar relevante en los libros de historia del arte local","La tranquila expresión de una fe revolucionaria: obra escultórica de José Domingo Rodríguez y su legado en Cundinamarca."
57,kJYdDAAAQBAJ,COLOMBIA Cocina tradición i cultura, "Colombia cocina tradición i cultura es un texto que recorre los 32 departamentos del país con una selección de artículos que comentan algunas de sus particularidades hechos relevantes en diferentes épocas de la historia que han trascendido a través de los años","Colombia, cocina tradición i cultura: recorrido por los 32 departamentos y su gastronomía por varios autores."
58,MjfSjV9zbZoC,Monografías de los municipios de Cundinamarca,"1952 se registraron acueductoalumbrado eléctricoAnolaimaArquidiócesis de BogotáBañan el territorioBogotá en arcoCáqueza carretera centígrados ChaguaníChocontá  clima frío clima medio COLOMBIA PRESIDENCIA costo anual Cucunubá CUNDINAMARCA defunciones", "Monografías de los municipios de Cundinamarca: recopilación de datos históricos y geográficos por varios autores."
59,u3YyAQAAMAAJ,Ferrocarril de Girardot,"Ferrocarril de Girardot: estudio sobre los bonos hipotecarios emitidos por la Compañía del ferrocarril de Girardot", "Ferrocarril de Girardot: estudio sobre los bonos hipotecarios emitidos por la Compañía del ferrocarril de Girardot."
60,K61BEAAAQBAJ,Aurelio Arturo y la poesía colombiana del siglo XX,"Echando mano de un basamento teórico-conceptual que bebe de la filosofía la teoría literaria la sociología y la historia Juan Pablo Pino Posada se adentra en los pliegues de la obra del poeta colombiano Aurelio Arturo (La Unión 1906-Bogotá 1974) con el propósito de estudiar las maneras en que las nociones de "espacio" y "subjetividad" se trenzan y ponen de manifiesto las tensiones propias de la modernidad tardía. ","Aurelio Arturo y la poesía colombiana del siglo XX: estudio sobre espacio y subjetividad en la obra de Aurelio Arturo por Juan Pablo Pino Posada."
